"employee_id","name","gender","dob","joining_date","salary","employee_type","identity_type","identity_number","phone_number","photo_dir","nid_dir","active","status","created_at","updated_at","created_by","updated_by"
1001,Abdul Rahman,Male,1990-05-12,2020-01-15,35000.00,TEACHER,NID,1990123456789,01710000001,/photos/1.jpg,/nid/1.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1002,Md Karim,Male,1988-03-22,2019-06-01,40000.00,TEACHER,NID,1988123456789,01710000002,/photos/2.jpg,/nid/2.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1003,Abu Bakar,Male,1992-11-10,2021-02-10,30000.00,REGISTER,NID,1992123456789,01710000003,/photos/3.jpg,/nid/3.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1004,Omar Faruk,Male,1991-07-18,2020-09-05,32000.00,TEACHER,NID,1991123456789,01710000004,/photos/4.jpg,/nid/4.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1005,Abdul Aziz,Male,1985-01-25,2018-03-12,45000.00,TEACHER,NID,1985123456789,01710000005,/photos/5.jpg,/nid/5.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1006,Md Hasan,Male,1994-06-30,2022-01-01,28000.00,REGISTER,NID,1994123456789,01710000006,/photos/6.jpg,/nid/6.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1007,Md Ibrahim,Male,1989-09-09,2019-11-20,38000.00,TEACHER,NID,1989123456789,01710000007,/photos/7.jpg,/nid/7.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1008,Abdul Jalil,Male,1987-12-14,2017-08-01,50000.00,TEACHER,NID,1987123456789,01710000008,/photos/8.jpg,/nid/8.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1009,Md Yousuf,Male,1993-04-17,2021-05-10,31000.00,REGISTER,NID,1993123456789,01710000009,/photos/9.jpg,/nid/9.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1010,Abdur Razzak,Male,1986-02-08,2016-07-15,55000.00,TEACHER,NID,1986123456789,01710000010,/photos/10.jpg,/nid/10.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1011,Md Salim,Male,1995-10-05,2023-01-01,26000.00,REGISTER,NID,1995123456789,01710000011,/photos/11.jpg,/nid/11.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1012,Abdul Wahab,Male,1984-08-19,2015-02-20,60000.00,TEACHER,NID,1984123456789,01710000012,/photos/12.jpg,/nid/12.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1013,Md Shahin,Male,1991-01-11,2020-04-01,34000.00,TEACHER,NID,1991123456790,01710000013,/photos/13.jpg,/nid/13.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1014,Abdul Mannan,Male,1983-06-06,2014-09-10,65000.00,TEACHER,NID,1983123456789,01710000014,/photos/14.jpg,/nid/14.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1015,Md Kamal,Male,1992-03-03,2021-06-15,33000.00,REGISTER,NID,1992123456790,01710000015,/photos/15.jpg,/nid/15.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1016,Abdul Latif,Male,1987-11-27,2018-10-01,42000.00,TEACHER,NID,1987123456790,01710000016,/photos/16.jpg,/nid/16.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1017,Md Saiful,Male,1994-09-15,2022-03-01,29000.00,REGISTER,NID,1994123456790,01710000017,/photos/17.jpg,/nid/17.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1018,Abdul Hakim,Male,1989-12-01,2019-01-10,37000.00,TEACHER,NID,1989123456790,01710000018,/photos/18.jpg,/nid/18.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1019,Md Anwar,Male,1990-07-07,2020-11-01,36000.00,TEACHER,NID,1990123456790,01710000019,/photos/19.jpg,/nid/19.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
1020,Abdul Kader,Male,1985-04-04,2016-05-05,48000.00,TEACHER,NID,1985123456790,01710000020,/photos/20.jpg,/nid/20.pdf,true,APPOINTED,2026-01-01 10:00:00,2026-01-01 10:00:00,system,system
